chat_id,user_id,role,joined_at,is_muted
1,19,owner,2025-09-19 16:33:05,0
1,52,member,2025-09-19 16:33:05,1
2,29,owner,2026-02-16 09:24:10,0
2,7,member,2026-02-16 09:24:10,0
3,46,owner,2025-11-14 21:54:30,0
3,57,member,2025-11-14 21:54:30,0
4,40,owner,2026-03-31 09:44:43,0
4,56,member,2026-03-31 09:44:43,0
5,34,owner,2025-07-23 11:09:39,0
5,15,member,2025-07-23 11:09:39,0
6,43,owner,2026-02-20 19:30:44,0
6,54,member,2026-02-20 19:30:44,0
7,20,owner,2026-04-04 01:28:31,0
7,24,member,2026-04-04 01:28:31,0
8,7,owner,2025-09-10 13:55:42,0
8,54,member,2025-09-10 13:55:42,0
9,17,owner,2025-09-03 06:07:03,0
9,15,member,2025-09-03 06:07:03,0
10,57,owner,2025-08-30 23:53:31,0
10,43,member,2025-08-30 23:53:31,0
11,48,owner,2026-02-20 06:39:45,0
11,26,member,2026-02-20 06:39:45,0
12,10,owner,2025-11-03 04:42:49,0
12,19,member,2025-11-03 04:42:49,0
13,19,owner,2026-03-12 07:40:01,0
13,51,member,2026-03-12 07:40:01,0
14,14,owner,2026-04-25 02:52:29,0
14,24,member,2026-04-25 02:52:29,1
15,22,owner,2025-10-07 11:54:32,0
15,34,member,2025-10-07 11:54:32,0
16,44,owner,2026-03-23 17:46:14,0
16,45,member,2026-03-23 17:46:14,1
17,55,owner,2025-10-30 22:45:09,0
17,22,member,2025-10-30 22:45:09,0
18,33,owner,2026-01-26 03:41:28,0
18,8,member,2026-01-26 03:41:28,0
19,17,owner,2025-08-09 03:43:28,0
19,12,member,2025-08-09 03:43:28,1
20,6,owner,2026-03-23 18:12:14,0
20,18,member,2026-03-23 18:12:14,0
21,18,owner,2025-08-06 13:09:46,0
21,40,member,2025-08-20 19:47:46,0
21,29,member,2025-08-24 01:54:46,0
21,24,admin,2025-08-18 03:23:46,1
21,48,member,2025-08-06 15:00:46,0
22,50,owner,2025-09-09 05:34:19,0
22,28,member,2025-09-22 21:36:19,1
22,5,member,2025-09-24 01:51:19,0
22,43,admin,2025-10-04 11:08:19,1
22,22,member,2025-09-26 11:42:19,0
22,40,member,2025-10-07 05:53:19,1
22,21,member,2025-10-04 04:04:19,0
22,58,admin,2025-09-22 06:58:19,0
22,8,member,2025-09-30 09:28:19,0
23,17,owner,2025-09-21 04:17:51,0
23,52,member,2025-10-19 23:38:51,0
23,59,member,2025-10-01 20:50:51,0
23,60,admin,2025-09-30 05:48:51,0
23,49,member,2025-10-02 07:44:51,0
23,11,member,2025-10-11 21:44:51,0
23,44,member,2025-10-08 15:42:51,0
23,6,member,2025-09-27 21:29:51,0
23,20,member,2025-09-26 00:43:51,0
23,34,member,2025-09-29 04:24:51,1
23,55,member,2025-09-23 11:09:51,0
24,36,owner,2026-04-20 11:32:30,0
24,9,member,2026-05-18 08:43:30,1
24,53,member,2026-05-15 09:58:30,0
24,30,member,2026-05-12 02:01:30,0
24,44,member,2026-05-19 12:02:30,1
24,34,admin,2026-05-19 00:07:30,1
24,37,member,2026-04-24 00:10:30,0
24,40,member,2026-05-02 20:20:30,0
24,21,admin,2026-04-26 18:41:30,1
24,50,member,2026-04-27 10:27:30,0
24,29,member,2026-05-09 08:41:30,1
25,1,owner,2025-09-01 20:59:04,0
25,5,member,2025-09-28 01:48:04,0
25,15,member,2025-09-17 21:12:04,1
25,55,member,2025-09-20 22:40:04,0
25,28,admin,2025-09-24 02:16:04,1
25,26,admin,2025-09-23 23:27:04,0
25,51,member,2025-09-20 06:37:04,1
25,39,member,2025-09-07 16:24:04,0
25,46,member,2025-09-19 19:22:04,0
25,3,member,2025-09-05 16:41:04,0
26,57,owner,2026-04-14 19:00:50,0
26,12,member,2026-05-02 01:07:50,1
26,4,member,2026-04-26 06:33:50,1
26,17,member,2026-04-15 16:11:50,0
26,25,admin,2026-04-30 17:16:50,0
26,21,admin,2026-05-14 10:54:50,0
26,14,admin,2026-04-26 01:06:50,0
26,30,admin,2026-05-13 01:40:50,0
26,55,member,2026-05-06 08:16:50,0
26,22,member,2026-05-05 22:57:50,0
26,49,member,2026-04-22 10:17:50,0
27,35,owner,2025-08-03 10:03:03,0
27,20,member,2025-08-20 12:00:03,0
27,7,member,2025-08-06 21:04:03,0
27,39,member,2025-08-08 01:22:03,0
27,2,member,2025-08-30 17:52:03,0
27,38,member,2025-08-19 05:18:03,0
28,38,owner,2026-02-20 00:09:05,0
28,33,member,2026-03-11 02:58:05,0
28,43,member,2026-03-11 17:41:05,1
28,22,member,2026-02-26 23:16:05,0
28,1,member,2026-03-20 00:54:05,1
29,9,owner,2025-08-05 16:07:03,0
29,29,member,2025-08-16 18:29:03,1
29,54,admin,2025-08-20 23:34:03,0
29,48,member,2025-08-13 22:45:03,0
29,39,member,2025-08-17 10:19:03,0
29,19,admin,2025-08-30 23:12:03,0
29,22,admin,2025-08-09 13:38:03,1
29,17,member,2025-08-27 21:47:03,0
29,6,member,2025-08-27 08:09:03,1
29,56,member,2025-08-26 01:39:03,0
29,30,admin,2025-08-19 01:31:03,0
30,58,owner,2025-08-04 22:05:29,0
30,43,member,2025-08-24 06:51:29,0
30,38,member,2025-08-20 22:22:29,0
30,24,member,2025-08-18 21:00:29,0
30,31,member,2025-08-13 16:27:29,0
30,36,admin,2025-08-13 15:18:29,1
30,34,member,2025-08-17 12:06:29,0
30,23,member,2025-08-09 11:54:29,0
31,14,owner,2026-04-11 07:34:00,0
31,25,member,2026-04-17 01:50:00,0
31,12,member,2026-05-06 11:59:00,0
31,21,member,2026-05-10 08:18:00,1
31,1,member,2026-04-15 23:38:00,0
31,47,member,2026-05-02 16:17:00,0
31,36,member,2026-04-19 16:57:00,0
32,7,owner,2025-12-04 18:46:05,0
32,9,admin,2025-12-11 16:30:05,0
32,54,member,2025-12-08 15:49:05,0
32,5,member,2025-12-30 04:20:05,0
32,27,member,2025-12-28 13:34:05,1
32,33,member,2025-12-18 07:34:05,1
32,58,member,2025-12-18 16:20:05,0
32,38,member,2026-01-01 12:39:05,0
32,42,member,2025-12-14 05:44:05,0
32,45,admin,2025-12-08 11:27:05,0
32,4,admin,2025-12-29 21:42:05,0
33,57,owner,2025-12-25 05:57:22,0
33,29,member,2026-01-07 02:46:22,1
33,45,member,2025-12-28 11:42:22,0
33,39,member,2026-01-22 16:41:22,0
33,31,admin,2026-01-13 14:19:22,0
33,19,admin,2026-01-23 17:21:22,0
33,3,admin,2025-12-31 17:19:22,0
33,15,member,2026-01-08 05:57:22,0
33,55,admin,2026-01-14 05:38:22,0
33,46,member,2026-01-12 13:36:22,1
34,48,owner,2025-09-18 10:47:09,0
34,6,member,2025-09-28 20:50:09,0
34,39,member,2025-09-30 17:10:09,0
34,3,member,2025-10-09 20:42:09,1
34,28,admin,2025-10-01 02:37:09,1
34,49,member,2025-10-17 08:09:09,0
34,21,member,2025-10-09 20:10:09,0
34,59,member,2025-10-03 01:28:09,0
34,17,member,2025-10-03 11:02:09,1
34,2,member,2025-10-01 13:36:09,1
34,60,admin,2025-10-13 11:39:09,0
35,16,owner,2025-09-21 12:52:14,0
35,18,member,2025-10-21 11:13:14,1
35,22,admin,2025-10-10 08:15:14,0
35,8,member,2025-10-19 20:57:14,1
35,51,admin,2025-09-23 21:15:14,0
35,27,member,2025-10-04 15:29:14,1
35,34,admin,2025-09-27 01:30:14,0
35,54,member,2025-09-28 17:52:14,0
35,1,member,2025-10-16 16:05:14,0
36,52,owner,2025-09-27 04:29:31,0
36,30,member,2025-10-04 04:40:31,0
36,8,member,2025-10-20 08:19:31,1
36,42,member,2025-10-19 03:31:31,0
36,55,member,2025-10-17 23:25:31,1
37,2,owner,2025-09-28 02:00:25,0
37,60,member,2025-10-10 15:45:25,1
37,40,member,2025-10-13 13:15:25,0
37,34,member,2025-09-28 04:49:25,0
37,49,member,2025-10-24 19:06:25,1
37,10,member,2025-10-04 20:19:25,1
37,6,member,2025-10-13 18:59:25,1
38,22,owner,2025-12-27 07:41:21,0
38,21,member,2025-12-29 07:22:21,1
38,57,member,2026-01-13 16:06:21,0
38,13,member,2026-01-18 20:43:21,0
38,46,member,2026-01-19 04:20:21,0
38,16,member,2025-12-31 21:19:21,1
38,38,member,2025-12-31 20:36:21,1
38,26,member,2025-12-28 00:27:21,1
38,15,member,2026-01-26 02:53:21,0
38,51,member,2026-01-17 16:30:21,0
38,28,member,2026-01-11 17:29:21,1
39,56,owner,2026-05-01 21:28:38,0
39,55,member,2026-05-19 04:33:38,1
39,22,admin,2026-05-26 12:25:38,0
39,44,member,2026-05-12 13:54:38,0
39,35,member,2026-05-12 05:57:38,1
40,18,owner,2025-09-20 06:04:33,0
40,50,member,2025-09-24 19:51:33,0
40,42,admin,2025-09-21 13:42:33,0
40,47,member,2025-10-03 14:31:33,1
40,57,admin,2025-09-26 21:05:33,1
