chat_id,chat_type,title,description,created_by,created_at
1,private,,,19,2025-09-19 16:33:05
2,private,,,29,2026-02-16 09:24:10
3,private,,,46,2025-11-14 21:54:30
4,private,,,40,2026-03-31 09:44:43
5,private,,,34,2025-07-23 11:09:39
6,private,,,43,2026-02-20 19:30:44
7,private,,,20,2026-04-04 01:28:31
8,private,,,7,2025-09-10 13:55:42
9,private,,,17,2025-09-03 06:07:03
10,private,,,57,2025-08-30 23:53:31
11,private,,,48,2026-02-20 06:39:45
12,private,,,10,2025-11-03 04:42:49
13,private,,,19,2026-03-12 07:40:01
14,private,,,14,2026-04-25 02:52:29
15,private,,,22,2025-10-07 11:54:32
16,private,,,44,2026-03-23 17:46:14
17,private,,,55,2025-10-30 22:45:09
18,private,,,33,2026-01-26 03:41:28
19,private,,,17,2025-08-09 03:43:28
20,private,,,6,2026-03-23 18:12:14
21,group,Maximize Viral Web Services,Down before director card ahead.,18,2025-08-06 13:09:46
22,group,Maximize Best-Of-Breed Deliverables,,50,2025-09-09 05:34:19
23,group,Enhance Innovative Metrics,Between member husband cold serious station.,17,2025-09-21 04:17:51
24,group,Re-Intermediate World-Class Technologies,Word ago nation whether so speak.,36,2026-04-20 11:32:30
25,group,Whiteboard One-To-One E-Services,Trip where I analysis.,1,2025-09-01 20:59:04
26,group,Streamline Proactive Eyeballs,,57,2026-04-14 19:00:50
27,group,Incubate Collaborative Action-Items,Cause stay base concern must yard avoid such.,35,2025-08-03 10:03:03
28,group,Productize Customized Technologies,Natural see set watch notice.,38,2026-02-20 00:09:05
29,group,Engineer Extensible Interfaces,,9,2025-08-05 16:07:03
30,group,Engineer Mission-Critical Schemas,,58,2025-08-04 22:05:29
31,group,Monetize Leading-Edge Solutions,Reduce analysis behind.,14,2026-04-11 07:34:00
32,group,Integrate Innovative Synergies,,7,2025-12-04 18:46:05
33,group,Reinvent Web-Enabled E-Tailers,Large social soon staff.,57,2025-12-25 05:57:22
34,group,Extend Killer Architectures,Security professional Mr clear.,48,2025-09-18 10:47:09
35,group,Transition Efficient Relationships,Unit south on continue head myself actually.,16,2025-09-21 12:52:14
36,group,Incubate Robust Portals,Address chair kid throw break ever.,52,2025-09-27 04:29:31
37,group,Harness Rich Metrics,Suddenly prevent tough inside purpose team day.,2,2025-09-28 02:00:25
38,group,Iterate Transparent Infrastructures,Seek what step threat call song.,22,2025-12-27 07:41:21
39,group,Benchmark Intuitive E-Tailers,Trade order indeed home since interest.,56,2026-05-01 21:28:38
40,group,Revolutionize Magnetic Content,Economic alone American soon father.,18,2025-09-20 06:04:33
