file_id,message_id,uploader_id,file_name,file_type,file_size_kb,storage_url,uploaded_at
1,1,10,technology.pdf,application/pdf,4785,https://storage.example.com/uploads/795f87d0-fcbd-4322-910f-46a1719adf8c/technology.pdf,2025-11-28 02:16:58
2,2,45,ground.zip,application/zip,11396,https://storage.example.com/uploads/9f4815c3-b902-4156-9dc2-8efee02d7a9f/ground.zip,2026-04-25 12:28:23
3,3,52,glass.zip,application/zip,8054,https://storage.example.com/uploads/b2d92255-a23d-449a-83e9-a106f84e6bf8/glass.zip,2025-12-28 18:41:02
4,4,46,teach.mp4,video/mp4,12821,https://storage.example.com/uploads/32b73366-b213-4b20-8932-515a530fc2af/teach.mp4,2026-02-02 13:19:43
5,8,57,various.jpg,image/jpeg,5349,https://storage.example.com/uploads/6ecc0a4c-7f45-42e1-b8d0-1ae1e3196d1d/various.jpg,2026-03-19 02:59:51
6,9,12,speech.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,4602,https://storage.example.com/uploads/dc6f8d44-5761-4b06-87a8-57ad1145e988/speech.docx,2025-12-18 18:03:46
7,11,12,local.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,5990,https://storage.example.com/uploads/060c8bba-c79c-4957-8f93-c4d067a9e048/local.docx,2025-11-26 16:05:07
8,13,22,and.png,image/png,9248,https://storage.example.com/uploads/f8640b94-b285-4322-9dd9-b4ae534b8e1b/and.png,2025-12-09 12:06:11
9,18,17,expect.jpg,image/jpeg,9713,https://storage.example.com/uploads/de245b80-4b6e-4a04-9aaa-c90eaa401eb2/expect.jpg,2025-12-06 00:17:47
10,22,33,whom.mp4,video/mp4,2957,https://storage.example.com/uploads/f9e2100f-6747-48dd-b46d-6e9cdf382136/whom.mp4,2026-01-04 04:40:31
11,25,39,specific.zip,application/zip,12586,https://storage.example.com/uploads/467d16d5-e7a7-4db0-95e6-f57a02c459b8/specific.zip,2026-02-22 13:38:34
12,26,56,television.mp4,video/mp4,450,https://storage.example.com/uploads/d03d4be9-a5f9-4e68-970c-6767fd483c6c/television.mp4,2025-12-09 08:31:17
13,28,24,issue.zip,application/zip,7573,https://storage.example.com/uploads/42ac0acf-32c9-4a44-b0cb-52ddd3b1fe46/issue.zip,2026-04-22 15:10:43
14,35,57,himself.zip,application/zip,3444,https://storage.example.com/uploads/fbf29e12-5783-43ac-8756-7c57a7bc6f6d/himself.zip,2026-02-09 07:02:16
15,37,29,sure.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,13079,https://storage.example.com/uploads/7e6c5320-af7b-4ca7-9cd6-3253754cdae5/sure.docx,2026-04-09 11:22:00
16,38,18,lawyer.pdf,application/pdf,13629,https://storage.example.com/uploads/9bc5b844-4faf-4377-80ce-2788202a34ab/lawyer.pdf,2025-11-30 10:06:05
