status_id,message_id,user_id,status,updated_at
1,1,2,seen,2025-11-28 02:54:13
2,1,60,delivered,2025-11-28 02:37:36
3,1,40,seen,2025-11-28 03:11:55
4,1,34,seen,2025-11-28 02:44:42
5,1,49,delivered,2025-11-28 02:21:57
6,1,6,seen,2025-11-28 02:27:46
7,2,44,seen,2026-04-25 13:01:27
8,3,19,seen,2025-12-28 19:04:16
9,4,22,seen,2026-02-02 13:41:04
10,4,21,seen,2026-02-02 13:41:31
11,4,57,seen,2026-02-02 14:18:29
12,4,13,seen,2026-02-02 13:46:57
13,4,16,delivered,2026-02-02 13:45:01
14,4,38,seen,2026-02-02 13:26:58
15,4,26,seen,2026-02-02 13:51:34
16,4,15,delivered,2026-02-02 13:50:25
17,4,51,delivered,2026-02-02 13:26:20
18,4,28,sent,2026-02-02 13:45:57
19,5,1,seen,2026-02-20 08:27:02
20,5,5,delivered,2026-02-20 08:57:34
21,5,15,seen,2026-02-20 08:54:02
22,5,55,seen,2026-02-20 08:37:56
23,5,28,seen,2026-02-20 08:11:27
24,5,26,seen,2026-02-20 08:32:30
25,5,51,seen,2026-02-20 08:30:22
26,5,46,seen,2026-02-20 08:19:33
27,5,3,seen,2026-02-20 08:04:38
28,6,57,seen,2026-05-09 08:39:12
29,6,12,seen,2026-05-09 08:21:08
30,6,4,delivered,2026-05-09 08:28:47
31,6,17,sent,2026-05-09 08:23:54
32,6,21,seen,2026-05-09 09:02:14
33,6,14,seen,2026-05-09 08:36:49
34,6,30,delivered,2026-05-09 08:05:15
35,6,55,seen,2026-05-09 08:34:07
36,6,22,delivered,2026-05-09 08:22:45
37,6,49,seen,2026-05-09 08:56:50
38,7,22,seen,2025-12-20 13:10:15
39,8,46,seen,2026-03-19 03:38:47
40,9,17,seen,2025-12-18 18:28:31
41,10,36,seen,2026-02-05 05:27:47
42,10,9,seen,2026-02-05 05:53:30
43,10,53,seen,2026-02-05 05:41:51
44,10,30,seen,2026-02-05 06:05:18
45,10,44,seen,2026-02-05 05:30:52
46,10,34,delivered,2026-02-05 05:29:22
47,10,37,seen,2026-02-05 06:17:01
48,10,40,seen,2026-02-05 06:00:50
49,10,50,seen,2026-02-05 06:14:18
50,10,29,delivered,2026-02-05 06:03:53
51,11,17,seen,2025-11-26 16:39:16
52,12,57,sent,2025-12-15 10:13:09
53,12,12,delivered,2025-12-15 10:33:14
54,12,4,seen,2025-12-15 10:45:57
55,12,17,seen,2025-12-15 10:51:53
56,12,25,seen,2025-12-15 10:20:02
57,12,21,seen,2025-12-15 10:52:21
